State	Attraction	Address
Louisiana Top 10 Attractions	8: USS Kidd and Veterans Memorial	300 Fisher Rd, Lafayette, LA 70508
Louisiana Top 10 Attractions	9: Laura Plantation, Vacherie	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g40261-Lafayette_Lafayette_Parish_Louisiana-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Lafayette<i class=""icon-link-ext""></i></a>"
Louisiana Top 10 Attractions	10: Lake Pontchartrain Causeway Bridge	 
Maine Top 10 Attractions	1: Marginal Way	.
Maine Top 10 Attractions	2: Acadia National Park	Marginal Way, Ogunquit, ME 03907
Maine Top 10 Attractions	3: Mount Desert Island	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g40790-Ogunquit_Maine-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Ogunquit<i class=""icon-link-ext""></i></a>"
Maine Top 10 Attractions	4: Kennebunkport	Acadia National Park, Maine
Maine Top 10 Attractions	5: Baxter State Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143010-Acadia_National_Park_Mount_Desert_Island_Maine-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Acadia National Park<i class=""icon-link-ext""></i></a>"
Maine Top 10 Attractions	6: Boothbay Harbor	 
Maine Top 10 Attractions	7: Old Orchard Beach	"
"
Maine Top 10 Attractions	8: Portland Museum of Art	Bar Harbor, Mount Desert Island, ME 04609
Maine Top 10 Attractions	9: Portland Head Light	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g7929119-Mount_Desert_Island_Maine-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Mount Desert Island<i class=""icon-link-ext""></i></a>"
Maine Top 10 Attractions	10: Victoria Mansion	Kennebunkport, ME
Maryland Top 10 Attractions	1: Baltimore Inner Harbor	.
Maryland Top 10 Attractions	2: Deep Creek Lake Area	"Inner Harbor,
Baltimore, MD"
Maryland Top 10 Attractions	3: Chesapeake & Ohio Canal National Historical Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60811-Baltimore_Maryland-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Baltimore<i class=""icon-link-ext""></i></a>"
Maryland Top 10 Attractions	4: Ocean City Boardwalk	"
"
Maryland Top 10 Attractions	5: Six Flags America	 898 State Park Rd, Garrett, MD 21561
Maryland Top 10 Attractions	6: Assateague Island National Seashore	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g4465255-Deep_Creek_Lake_Maryland-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Deep Creek Lake<i class=""icon-link-ext""></i></a>"
Maryland Top 10 Attractions	7: Brookside Gardens	 
Maryland Top 10 Attractions	8: Fort McHenry	Hagerstown, MD 21740
Maryland Top 10 Attractions	9: Baltimore and Ohio Railroad Museum	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g41181-Hagerstown_Maryland-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Hagerstown<i class=""icon-link-ext""></i></a>"
Maryland Top 10 Attractions	10: Strathmore Music Center	 
Massachusetts Top 10 Attractions	1: Freedom Trail	Freedom Trail, Boston, MA
Massachusetts Top 10 Attractions	2: Faneuil Hall Marketplace	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60745-Boston_Massachusetts-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Boston<i class=""icon-link-ext""></i></a>"
Massachusetts Top 10 Attractions	3: Norman Rockwell Museum	 
Massachusetts Top 10 Attractions	4: Cape Cod Beaches	"
"
Massachusetts Top 10 Attractions	5: Fenway Park	"4 S Market St,
Boston, MA 02109"
Massachusetts Top 10 Attractions	6: Nantucket	 
Massachusetts Top 10 Attractions	7: Tanglewood Concerts	9 MA-183, Stockbridge, MA 01262
Massachusetts Top 10 Attractions	8: Mayflower II and Plimoth Plantation	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g41850-Stockbridge_Massachusetts-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Stockbridge<i class=""icon-link-ext""></i></a>"
Massachusetts Top 10 Attractions	9: Old Sturbridge Village	 
Massachusetts Top 10 Attractions	10: Salem’s Historic Houses	Cape Cod, Massachusetts
Michigan Top 10 Attractions	1: Mackinac Island	Mackinac Island, MI 49757
Michigan Top 10 Attractions	2: Pictured Rocks National Lakeshore	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g42423-Mackinac_Island_Mackinac_County_Upper_Peninsula_Michigan-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Mackinac Island<i class=""icon-link-ext""></i></a>"
Michigan Top 10 Attractions	3: Henry Ford Museum	 
Michigan Top 10 Attractions	4: Michigan State Capitol	Munising, MI 49862
Michigan Top 10 Attractions	5: University of Michigan	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g42497-Munising_Upper_Peninsula_Michigan-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Munising<i class=""icon-link-ext""></i></a>"
Michigan Top 10 Attractions	6: Isle Royale National Park	 
Michigan Top 10 Attractions	7: Sleeping Bear Dunes National Lakeshore	"20900 Oakwood,
Dearborn, MI 48124"
Michigan Top 10 Attractions	8: Colonial Michilimackinac	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g42130-Dearborn_Michigan-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Dearborn<i class=""icon-link-ext""></i></a>"
Michigan Top 10 Attractions	9: Detroit Institute of Arts	 
Michigan Top 10 Attractions	10: Windmill Island Gardens	100 N Capitol Ave, Lansing, MI 48933
Minnesota Top 10 Attractions	1: Mall of America	60 E Broadway, Bloomington, MN 55425
Minnesota Top 10 Attractions	2: Como Park Zoo and Conservatory	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g42881-Bloomington_Minnesota-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Bloomington<i class=""icon-link-ext""></i></a>"
Minnesota Top 10 Attractions	3: Boundary Waters Canoe Area Wilderness	 
Minnesota Top 10 Attractions	4: Cathedral of Saint Paul	1225 Estabrook Dr, St Paul, MN 55103
Minnesota Top 10 Attractions	5: North Shore Scenic Drive	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g43501-Saint_Paul_Minnesota-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Saint Paul<i class=""icon-link-ext""></i></a>"
Minnesota Top 10 Attractions	6: Split Rock Lighthouse State Park	 
Minnesota Top 10 Attractions	7: Minnehaha Falls	"
"
Minnesota Top 10 Attractions	8: Munsinger Clemens Gardens	Duluth, MN 55808
Minnesota Top 10 Attractions	9: Itasca State Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g43018-Duluth_Minnesota-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Duluth<i class=""icon-link-ext""></i></a>"
Minnesota Top 10 Attractions	10: Valleyfair Amusement Park	 
Mississippi Top 10 Attractions	1: Vicksburg National Military Park	"3201 Clay St,
Vicksburg, MS 39183"
Mississippi Top 10 Attractions	2: Mississippi Museum of Natural Science	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60985-Vicksburg_Mississippi-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Vicksburg<i class=""icon-link-ext""></i></a>"
Mississippi Top 10 Attractions	3: Natchez Trace Parkway	 
Mississippi Top 10 Attractions	4: Gulf Coast Beaches & Water Activities	"
"
Mississippi Top 10 Attractions	5: Jackson Zoological Park	2148 Riverside Dr, Jackson, MS 39202
Mississippi Top 10 Attractions	6: Gulf Islands Waterpark	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g43833-Jackson_Mississippi-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Jackson<i class=""icon-link-ext""></i></a>"
Mississippi Top 10 Attractions	7: Elvis Presley Birthplace	 
Mississippi Top 10 Attractions	8: Tupelo National Battlefield	"
"
Mississippi Top 10 Attractions	9: Marine Life Oceanarium	Natchez Trace Parkway, Natchez, MS 39120
Mississippi Top 10 Attractions	10: Riley Center	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60910-Natchez_Mississippi-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Natchez<i class=""icon-link-ext""></i></a>"
Missouri Top 10 Attractions	1: Gateway Arch	.
Missouri Top 10 Attractions	2: Saint Louis Zoo	100 Washington Ave, St. Louis, MO 63102
Missouri Top 10 Attractions	3: Silver Dollar City	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g44881-Saint_Louis_Missouri-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Saint Louis<i class=""icon-link-ext""></i></a>"
Missouri Top 10 Attractions	4: Mark Twain Boyhood Home and Museum	 
Missouri Top 10 Attractions	5: Forest Park	"
"
Missouri Top 10 Attractions	6: Harry S. Truman Library and Museum	1 Government Dr, St. Louis, MO 63110
Missouri Top 10 Attractions	7: Nelson Atkins Museum of Art	 
Missouri Top 10 Attractions	8: Titanic Museum	399 Silver Dollar City Pkwy, Branson, MO 65616
Missouri Top 10 Attractions	9: Jefferson City	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g44160-Branson_Missouri-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Branson<i class=""icon-link-ext""></i></a>"
Missouri Top 10 Attractions	10: Worlds of Fun	 
Montana Top 10 Attractions	1: Glacier National Park	.
Montana Top 10 Attractions	2: Yellowstone National Park	Glacier National Park, MT
Montana Top 10 Attractions	3: Lewis & Clark Trail	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143026-Glacier_National_Park_Montana-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Glacier National Park<i class=""icon-link-ext""></i></a>"
Montana Top 10 Attractions	4: Little Bighorn Battlefield National Monument	 
Montana Top 10 Attractions	5: Museum of the Rockies	Yellowstone National Park, WY 82190
Montana Top 10 Attractions	6: Montana Rockies	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143026-Glacier_National_Park_Montana-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Yellowstone National Park<i class=""icon-link-ext""></i></a>"
Montana Top 10 Attractions	7: Montana Historical Society Museum	 
Montana Top 10 Attractions	8: Montana State Capitol	"
"
Montana Top 10 Attractions	9: Fly Fishing	248 N Higgins Ave, Missoula, MT 59802
Montana Top 10 Attractions	10: Geyser Whitewater Expeditions	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g45277-Missoula_Montana-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Missoula<i class=""icon-link-ext""></i></a>"
Nebraska Top 10 Attractions	1: Omaha's Henry Doorly Zoo and Aquarium	"3701 S 10th St,
Omaha, NE 68107"
Nebraska Top 10 Attractions	2: Strategic Air and Space Museum	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60885-Omaha_Nebraska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Omaha<i class=""icon-link-ext""></i></a>"
Nebraska Top 10 Attractions	3: Lake McConaughy	 
Nebraska Top 10 Attractions	4: Chimney Rock National Historic Site	"
"
Nebraska Top 10 Attractions	5: Ponca State Park	28210 W Park Hwy, Ashland, NE 68003
Nebraska Top 10 Attractions	6: Harold Warp Pioneer Village	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g29709-Ashland_Nebraska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Ashland<i class=""icon-link-ext""></i></a>"
Nebraska Top 10 Attractions	7: The Durham Museum	 
Nebraska Top 10 Attractions	8: Papio Fun Park	"
"
Nebraska Top 10 Attractions	9: Niobrara National Scenic River	1475 Highway 61 N, Ogallala, Nebraska
Nebraska Top 10 Attractions	10: Lauritzen Gardens	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g45745-Ogallala_Nebraska-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Ogallala<i class=""icon-link-ext""></i></a>"
Nevada Top 10 Attractions	1: Las Vegas Strip	S Las Vegas Blvd, Las Vegas, NV 89109
Nevada Top 10 Attractions	2: National Automobile Museum	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g45963-Las_Vegas_Nevada-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Las Vegas<i class=""icon-link-ext""></i></a>"
Nevada Top 10 Attractions	3: Las Vegas Bellagio Fountains	"
"
Nevada Top 10 Attractions	4: Fremont Street Experience	"10 Lake St,
Reno, NV 89501"
Nevada Top 10 Attractions	5: Hoover Dam	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g45992-Reno_Nevada-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Reno<i class=""icon-link-ext""></i></a>"
Nevada Top 10 Attractions	6: Grand Canyon Tours	 
Nevada Top 10 Attractions	7: Lake Tahoe	"
"
Nevada Top 10 Attractions	8: Lake Mead National Recreation Area	"3600 S Las Vegas Blvd,
Las Vegas, NV 89109"
Nevada Top 10 Attractions	9: Great Basin National Park 	"
"
Nevada Top 10 Attractions	10: Red Rock Canyon National Conservation Area	"Fremont St,
Las Vegas, NV 89101"
Ohio Top 20 Attractions	1: Cedar Point Amusement Park/Resort	1 Cedar Point Dr, Sandusky, OH 44870
Ohio Top 20 Attractions	2: Cleveland Museum of Art	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g50940-Sandusky_Ohio-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Sandusky<i class=""icon-link-ext""></i></a>"
Ohio Top 20 Attractions	3: Rock and Roll Hall of Fame and Museum	 
Ohio Top 20 Attractions	4: Hocking Hills State Park	11150 East Boulevard, Cleveland, OH 44106
Ohio Top 20 Attractions	5: National Museum of the U.S. Air Force	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g50207-Cleveland_Ohio-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Cleveland<i class=""icon-link-ext""></i></a>"
Ohio Top 20 Attractions	6: Stan Hywet Hall and Gardens	 
Ohio Top 20 Attractions	7: Cincinnati Museum Center at Union Terminal	"
"
Ohio Top 20 Attractions	8: Franklin Park Conservatory and Botanical Gardens	"1100 E 9th St,
Cleveland, OH 44114"
Ohio Top 20 Attractions	9: Cincinnati Zoo & Botanical Gardens	 
Ohio Top 20 Attractions	10: Toledo Museum of Art	19852 OH-664, Logan, OH 43138
Oklahoma Top 10 Attractions	1: Oklahoma City National Memorial	 so you don't miss anything.
Oklahoma Top 10 Attractions	2: Oklahoma Route 66 Museum	620 N Harvey Ave, Oklahoma City, OK 73102
Oklahoma Top 10 Attractions	3: Myriad Botanical Gardens	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g51560-Oklahoma_City_Oklahoma-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Oklahoma City<i class=""icon-link-ext""></i></a>"
Oklahoma Top 10 Attractions	4: Woolaroc Museum and Wildlife Preserve	 
Oklahoma Top 10 Attractions	5: Sam Noble Oklahoma Museum of Natural History	"
"
Oklahoma Top 10 Attractions	6: Gilcrease Museum	2229 W Gary Blvd, Clinton, OK 73601
Oklahoma Top 10 Attractions	7: Turner Falls Park	 
Oklahoma Top 10 Attractions	8: JM Davis Arms and Historical Museum	"301 W Reno Ave,
Oklahoma City, OK 73102"
Oklahoma Top 10 Attractions	9: Wichita Mountains Wildlife Refuge	 
Oklahoma Top 10 Attractions	10: Oklahoma City Zoo	1925 Woolaroc Ranch Rd, Bartlesville, OK 74003
Oregon Top 10 Attractions	1: Crater Lake National Park	.
Oregon Top 10 Attractions	2: Columbia River Gorge National Scenic Area	Crater Lake National Park, OR 97604
Oregon Top 10 Attractions	3: Mount Hood National Forest	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143020-Crater_Lake_National_Park_Oregon-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Crater Lake National Park<i class=""icon-link-ext""></i></a>"
Oregon Top 10 Attractions	4: Cannon Beach	 
Oregon Top 10 Attractions	5: Cascade Lakes Scenic Byway	Hood River, OR 97031
Oregon Top 10 Attractions	6: Visit Yachats	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g51909-Hood_River_Oregon-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Hood River<i class=""icon-link-ext""></i></a>"
Oregon Top 10 Attractions	7: Visit Astoria	 
Oregon Top 10 Attractions	8: Oregon Coast Aquarium	Mt Hood, OR 97055
Oregon Top 10 Attractions	9: Wallowa Lake	 
Oregon Top 10 Attractions	10: Portland Japanese Garden	Cannon Beach, OR
Pennsylvania Top 10 Attractions	1: Hersheypark	"100 W Hersheypark Dr,
Hershey, PA 17033"
Pennsylvania Top 10 Attractions	2: Gettysburg National Military Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g52819-Hershey_Pennsylvania-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Hershey<i class=""icon-link-ext""></i></a>"
Pennsylvania Top 10 Attractions	3: Fallingwater	 
Pennsylvania Top 10 Attractions	4: Philadelphia Museum of Art	"
"
Pennsylvania Top 10 Attractions	5: Visit Strasburg	"1195 Baltimore Pike,
Gettysburg, PA 17325"
Pennsylvania Top 10 Attractions	6: Independence National Park and the Liberty Bell	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60798-Gettysburg_Pennsylvania-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Gettysburg<i class=""icon-link-ext""></i></a>"
Pennsylvania Top 10 Attractions	7: Valley Forge National Historical Park	 
Pennsylvania Top 10 Attractions	8: Phipps Conservatory and Botanical Gardens	"
"
Pennsylvania Top 10 Attractions	9: Eastern State Penitentiary	1491 Mill Run Rd, Mill Run, PA 15464
Pennsylvania Top 10 Attractions	10: Presque Isle State Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g53192-Mill_Run_Pennsylvania-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Mill Run<i class=""icon-link-ext""></i></a>"
Tennessee Top 10 Attractions	1: Great Smoky Mountains National Park	.
Tennessee Top 10 Attractions	2: Elvis Presley's Graceland	"Great Smoky Mountains National Park, 107 Park Headquarters Rd,
Gatlinburg, TN 37738"
Tennessee Top 10 Attractions	3: Grand Ole Opry House and Opry Museum	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143031-Great_Smoky_Mountains_National_Park_Tennessee-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Great Smoky Mountains National Park<i class=""icon-link-ext""></i></a>"
Tennessee Top 10 Attractions	4: Tennessee Aquarium	 
Tennessee Top 10 Attractions	5: Dollywood	"
"
Tennessee Top 10 Attractions	6: The Hermitage: President Andrew Jackson's Home	"3734 Elvis Presley Blvd,
Memphis, TN 38116"
Tennessee Top 10 Attractions	7: Memphis Zoo and Aquarium	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g55197-Memphis_Tennessee-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Memphis<i class=""icon-link-ext""></i></a>"
Tennessee Top 10 Attractions	8: Country Music Hall of Fame and Museum	 
Tennessee Top 10 Attractions	9: Titanic Museum	"
"
Tennessee Top 10 Attractions	10: Ruby Falls	2804 Opryland Dr, Nashville, TN 37214
Texas Top 10 Attractions	1: The Alamo	.
Texas Top 10 Attractions	2: San Antonio River Walk (Paseo del Rio)	"300 Alamo Plaza,
San Antonio, TX 78205"
Texas Top 10 Attractions	3: Texas State Capitol	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g60956-San_Antonio_Texas-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in San Antonio<i class=""icon-link-ext""></i></a>"
Texas Top 10 Attractions	4: Dallas World Aquarium	 
Texas Top 10 Attractions	5: Padre Island National Seashore	"
"
Texas Top 10 Attractions	6: Space Center Houston	River Walk, San Antonio, TX 78205
Texas Top 10 Attractions	7: Schlitterbahn Waterpark, New Braunfels	 
Texas Top 10 Attractions	8: Big Bend National Park	"1100 Congress Ave,
Austin, TX 78701"
Texas Top 10 Attractions	9: Moody Gardens and Aquarium, Galveston Island	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g30196-Austin_Texas-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay in Austin<i class=""icon-link-ext""></i></a>"
Texas Top 10 Attractions	10: Fort Worth Stockyards National Historic District	 
Utah Top 10 Attractions	1: Bryce Canyon National Park	 that you don't want to miss on your next trip to the Beehive State.
Utah Top 10 Attractions	2: Arches National Park	Bryce Canyon National Park, UT
Utah Top 10 Attractions	3: Zion National Park	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143015-Bryce_Canyon_National_Park_Utah-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Bryce Canyon National Park<i class=""icon-link-ext""></i></a>"
Utah Top 10 Attractions	4: Canyonlands National Park	 
Utah Top 10 Attractions	5: Grand Staircase Escalante National Monument	Arches National Park, Moab, UT 84532
Utah Top 10 Attractions	6: Park City	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143011-Arches_National_Park_Utah-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Arches National Park<i class=""icon-link-ext""></i></a>"
Utah Top 10 Attractions	7: Temple Square	 
Utah Top 10 Attractions	8: Dinosaur National Monument	"
"
Utah Top 10 Attractions	9: Capitol Reef National Park	Springdale, UT 84767
Utah Top 10 Attractions	10: Lake Powell	"<a href=""http://www.jdoqocy.com/click-7037948-10775740?URL=http%3A%2F%2Fwww.tripadvisor.com%2FSmartDeals-g143057-Zion_National_Park_Utah-Hotel-Deals.html%3Fcja%3D10775740%26cjp%3D7037948%26m%3D13092"" rel=""nofollow noopener"" target=""_blank""> Where to stay near Zion National Park<i class=""icon-link-ext""></i></a>"
